Komunikat|ID|Kraj|Kod|Miasto|Ulica|NrDomu|NrLokalu|Wojewodztwo|Powiat|Gmina
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Gliwice (ID=4270390),Ulica:  (ID=12369185),Numer budynku: 10,Liczba znalezionych kodów: 0|A1619630|PL|44-100|GLIWICE|ul.Piastów|10||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Gliwice (ID=4270390),Ulica:  (ID=12369185),Numer budynku: 10,Liczba znalezionych kodów: 0|A1619631|PL|44-100|GLIWICE|ul.Piastów|10||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Tarnów (ID=4235587),Ulica:  (ID=12324554),Numer budynku: 3,Liczba znalezionych kodów: 0|A1633829|PL|33-100|Tarnów|os.Legionów|3|94|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Sufczyn (ID=4230296),Numer budynku: 430,Liczba znalezionych kodów: 0|A1636562|PL|32-852|Sufczyn||430||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Roztoka-Brzeziny (ID=4227901),Numer budynku: 160,Liczba znalezionych kodów: 0|A1666329|PL|33-316|Roztoka Brzeziny||160||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Tarnów (ID=4235587),Ulica:  (ID=12330032),Numer budynku: 17,Liczba znalezionych kodów: 0|A1666359|PL|33-100|Tarnów|os.WESTERPLATTE|17|82|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Ropa (ID=4233844),Numer budynku: 52,Liczba znalezionych kodów: 0|A1690406|PL|38-312|Ropa||52||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Tarnów (ID=4235587),Ulica:  (ID=12324554),Numer budynku: 5,Liczba znalezionych kodów: 0|A1759390|PL|33-100|Tarnów|Os.Legionów|5|67|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Ropa (ID=4233844),Numer budynku: 66,Liczba znalezionych kodów: 0|A1780123|PL|38-312|Ropa||66||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Przyborów (ID=4227714),Numer budynku: 398,Liczba znalezionych kodów: 0|A1791400|PL|32-825|BORZĘCIN|Przyborów|398||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Tarnów (ID=4235587),Ulica:  (ID=12324554),Numer budynku: 6,Liczba znalezionych kodów: 0|A1805459|PL|33-100|Tarnów|os.Legionów|6|86|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Sufczyn (ID=4230296),Numer budynku: 442,Liczba znalezionych kodów: 0|A1806943|PL|32-852|Sufczyn||442||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Rożnów (ID=4227947),Numer budynku: 700,Liczba znalezionych kodów: 0|A1810043|PL|33-316|ROŻNÓW||700||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Rożnów (ID=4227947),Numer budynku: 617,Liczba znalezionych kodów: 0|A1872847|PL|33-318|Rożnów||617|1|MAŁOPOLSKIE|NOWOSĄDECKI|GRÓDEK NAD DUNAJCEM
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Rożnów (ID=4227947),Numer budynku: 700,Liczba znalezionych kodów: 0|A1904021|PL|33-316|ROŻNÓW||700||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Tarnów (ID=4235587),Ulica:  (ID=12330032),Numer budynku: 5,Liczba znalezionych kodów: 0|A1939267|PL|33-100|Tarnów|os.Westerplatte|5|26|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Pruszków (ID=4246594),Ulica:  (ID=12464628),Numer budynku: 36,Liczba znalezionych kodów: 0|A1940079|PL|05-800|Pruszków|ul.Armii Krajowej|36|2|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków (ID=4235931),Ulica:  (ID=12306227),Numer budynku: 4,Liczba znalezionych kodów: 0|A1963995|PL|31-231|Kraków|pl.Bociana|4|65|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Ropa (ID=4233844),Numer budynku: 10,Liczba znalezionych kodów: 0|A1966297|PL|38-312|ROPA||10|10|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Ropa (ID=4233844),Numer budynku: 52,Liczba znalezionych kodów: 0|A1987026|PL|38-312|Ropa||52||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Sufczyn (ID=4230296),Numer budynku: 498,Liczba znalezionych kodów: 0|A1988630|PL|32-852|Sufczyn||498||||
